2021-02-24 13:59:41,113 - /python/flask_test/utils/logger.py[line:70] - INFO: 


		新启动运行T2021-02-24 13:59:41.113139



2021-02-24 14:00:02,135 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '0', 'new_time': 1614146402.1352565, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:03,512 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '0', 'new_time': 1614146403.5124564, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:03,527 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '1', 'new_time': 1614146403.5277128, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:04,567 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '1', 'new_time': 1614146404.5672698, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:04,586 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '2', 'new_time': 1614146404.586474, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:05,609 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '2', 'new_time': 1614146405.6090145, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:05,623 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '3', 'new_time': 1614146405.623434, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:06,644 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '3', 'new_time': 1614146406.6445425, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:06,660 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '4', 'new_time': 1614146406.6602144, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:07,677 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '4', 'new_time': 1614146407.677085, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:07,691 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '5', 'new_time': 1614146407.691428, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:08,927 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '5', 'new_time': 1614146408.927042, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:08,942 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '6', 'new_time': 1614146408.9428518, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:09,972 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '6', 'new_time': 1614146409.9726117, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:10,000 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '7', 'new_time': 1614146410.0005271, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:11,035 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '7', 'new_time': 1614146411.035121, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:11,054 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '8', 'new_time': 1614146411.0546916, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:12,085 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '8', 'new_time': 1614146412.0853288, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:12,100 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '9', 'new_time': 1614146412.1006455, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:13,158 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '9', 'new_time': 1614146413.1581771, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:13,180 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '10', 'new_time': 1614146413.180183, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:14,228 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '10', 'new_time': 1614146414.228369, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:14,248 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '11', 'new_time': 1614146414.2486632, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:15,293 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '11', 'new_time': 1614146415.2938044, 'stop_time': '1', 'info': 'stop'}
2021-02-24 14:00:15,312 - /python/flask_test/controller/send_request_test.py[line:29] - INFO: {'name': 'send1', 'id': '12', 'new_time': 1614146415.312158, 'stop_time': '1', 'info': 'start'}
2021-02-24 14:00:16,336 - /python/flask_test/controller/send_request_test.py[line:33] - INFO: {'name': 'send1', 'id': '12', 'new_time': 1614146416.3361611, 'stop_time': '1', 'info': 'stop'}
